review,review_number,weekday,month,day,year
#2246,2246,Thursday,November,17,2016
#2245,2245,Thursday,November,17,2016
#2244,2244,Wednesday,November,16,2016
#2243,2243,Wednesday,November,16,2016
#2242,2242,Tuesday,November,15,2016
#2241,2241,Monday,November,14,2016
#2240,2240,Monday,November,14,2016
#2239,2239,Sunday,November,13,2016
#2238,2238,Saturday,November,12,2016
#2237,2237,Saturday,November,12,2016
#2236,2236,Friday,November,11,2016
#2235,2235,Thursday,November,10,2016
#2234,2234,Wednesday,November,9,2016
#2233,2233,Wednesday,November,9,2016
#2232,2232,Tuesday,November,8,2016
#2231,2231,Monday,November,7,2016
#2230,2230,Sunday,November,6,2016
#2229,2229,Sunday,November,6,2016
#2228,2228,Saturday,November,5,2016
#2227,2227,Friday,November,4,2016
#2226,2226,Thursday,November,3,2016
#2225,2225,Wednesday,November,2,2016
#2224,2224,Tuesday,November,1,2016
#2223,2223,Monday,October,31,2016
#2222,2222,Sunday,October,30,2016
#2221,2221,Sunday,October,30,2016
#2220,2220,Saturday,October,29,2016
#2219,2219,Saturday,October,29,2016
#2218,2218,Friday,October,28,2016
#2217,2217,Thursday,October,27,2016
#2216,2216,Thursday,October,27,2016
#2215,2215,Wednesday,October,26,2016
#2214,2214,Tuesday,October,25,2016
#2213,2213,Monday,October,24,2016
#2212,2212,Sunday,October,23,2016
#2211,2211,Sunday,October,23,2016
#2210,2210,Saturday,October,22,2016
#2209,2209,Friday,October,21,2016
#2208,2208,Thursday,October,20,2016
#2207,2207,Wednesday,October,19,2016
#2206,2206,Tuesday,October,18,2016
#2205,2205,Monday,October,17,2016
#2204,2204,Sunday,October,16,2016
#2203,2203,Saturday,October,15,2016
#2202,2202,Friday,October,14,2016
#2195,2195,Friday,October,7,2016
#2194,2194,Thursday,October,6,2016
#2193,2193,Wednesday,October,5,2016
#2192,2192,Tuesday,October,4,2016
#2191,2191,Monday,October,3,2016
#2190,2190,Sunday,October,2,2016
#2189,2189,Saturday,October,1,2016
#2188,2188,Friday,September,30,2016
#2187,2187,Thursday,September,29,2016
#2186,2186,Wednesday,September,28,2016
#2185,2185,Tuesday,September,27,2016
#2170,2170,Sunday,September,11,2016
#2169,2169,Sunday,September,11,2016
#2168,2168,Saturday,September,10,2016
#2167,2167,Friday,September,9,2016
#2166,2166,Thursday,September,8,2016
#2165,2165,Thursday,September,8,2016
#2164,2164,Wednesday,September,7,2016
#2163,2163,Tuesday,September,6,2016
#2161,2161,Monday,September,5,2016
#2160,2160,Saturday,September,3,2016
#2159,2159,Friday,September,2,2016
#2158,2158,Thursday,September,1,2016
#2157,2157,Wednesday,August,31,2016
#2156,2156,Tuesday,August,30,2016
#43292,43292,Friday,August,26,2016
#2147,2147,Sunday,August,21,2016
#2146,2146,Saturday,August,20,2016
#2145,2145,Friday,August,19,2016
#2144,2144,Thursday,August,18,2016
#43036,43036,Wednesday,August,17,2016
#2143,2143,Wednesday,August,17,2016
#2142,2142,Tuesday,August,16,2016
#2141,2141,Monday,August,15,2016
#2140,2140,Sunday,August,14,2016
#2139,2139,Saturday,August,13,2016
#2138,2138,Saturday,August,13,2016
#2137,2137,Friday,August,12,2016
#2106,2106,Thursday,August,11,2016
#2135,2135,Wednesday,August,10,2016
#2134,2134,Tuesday,August,9,2016
#2133,2133,Tuesday,August,9,2016
#2132,2132,Monday,August,8,2016
#2131,2131,Sunday,August,7,2016
#2130,2130,Saturday,August,6,2016
#2129,2129,Thursday,August,4,2016
#2128,2128,Thursday,August,4,2016
#2127,2127,Thursday,August,4,2016
#2126,2126,Wednesday,August,3,2016
#2125,2125,Tuesday,August,2,2016
#2111,2111,Wednesday,July,20,2016
#2110,2110,Tuesday,July,19,2016
#2109,2109,Sunday,July,17,2016
#2108,2108,Saturday,July,16,2016
#2107,2107,Friday,July,15,2016
#2106,2106,Thursday,July,14,2016
#2105,2105,Wednesday,July,13,2016
#2104,2104,Tuesday,July,12,2016
#2103,2103,Saturday,July,9,2016
#2102,2102,Friday,July,8,2016
#2101,2101,Thursday,July,7,2016
#2100,2100,Wednesday,July,6,2016
#2099,2099,Tuesday,July,5,2016
#2098,2098,Tuesday,July,5,2016
#2097,2097,Sunday,July,3,2016
#2096,2096,Saturday,July,2,2016
#2095,2095,Friday,July,1,2016
#2094,2094,Thursday,June,30,2016
#2093,2093,Wednesday,June,29,2016
#2092,2092,Tuesday,June,28,2016
#2091,2091,Tuesday,June,28,2016
#2075,2075,Sunday,June,12,2016
#2043,2043,Sunday,June,12,2016
#2073,2073,Sunday,June,12,2016
#2072,2072,Saturday,June,11,2016
#2071,2071,Friday,June,10,2016
#2070,2070,Thursday,June,9,2016
#2069,2069,Wednesday,June,8,2016
#2068,2068,Tuesday,June,7,2016
#2067,2067,Sunday,June,5,2016
#2066,2066,Saturday,June,4,2016
#2065,2065,Friday,June,3,2016
#2064,2064,Thursday,June,2,2016
#2062,2062,Wednesday,June,1,2016
#2061,2061,Wednesday,June,1,2016
#2060,2060,Tuesday,May,31,2016
#2058,2058,Monday,May,30,2016
#2057,2057,Monday,May,30,2016
#2056,2056,Sunday,May,29,2016
#2055,2055,Sunday,May,29,2016
#2054,2054,Saturday,May,28,2016
#2053,2053,Saturday,May,28,2016
#2052,2052,Friday,May,27,2016
#2051,2051,Thursday,May,26,2016
#2050,2050,Wednesday,May,25,2016
#2049,2049,Tuesday,May,24,2016
#2048,2048,Tuesday,May,24,2016
#2047,2047,Monday,May,23,2016
#2046,2046,Sunday,May,22,2016
#2045,2045,Sunday,May,22,2016
#2044,2044,Saturday,May,21,2016
#2043,2043,Friday,May,20,2016
#2042,2042,Thursday,May,19,2016
#2041,2041,Wednesday,May,18,2016
#2040,2040,Tuesday,May,17,2016
#2039,2039,Sunday,May,15,2016
#2038,2038,Saturday,May,14,2016
#2037,2037,Saturday,May,14,2016
#2036,2036,Thursday,May,12,2016
#2035,2035,Wednesday,May,11,2016
#2034,2034,Wednesday,May,11,2016
#2033,2033,Tuesday,May,10,2016
#2032,2032,Monday,May,9,2016
#2031,2031,Sunday,May,8,2016
#2030,2030,Saturday,May,7,2016
#2029,2029,Friday,May,6,2016
#2028,2028,Friday,May,6,2016
#2027,2027,Thursday,May,5,2016
#2026,2026,Thursday,May,5,2016
#2020,2020,Friday,April,29,2016
#2019,2019,Friday,April,29,2016
#2018,2018,Thursday,April,28,2016
#2017,2017,Wednesday,April,27,2016
#2016,2016,Wednesday,April,27,2016
#2015,2015,Tuesday,April,26,2016
#2014,2014,Tuesday,April,26,2016
#2013,2013,Sunday,April,24,2016
#2012,2012,Sunday,April,24,2016
#2011,2011,Saturday,April,23,2016
#2010,2010,Saturday,April,23,2016
#2009,2009,Friday,April,22,2016
#2008,2008,Friday,April,22,2016
#2007,2007,Thursday,April,21,2016
#2006,2006,Wednesday,April,20,2016
#2005,2005,Tuesday,April,19,2016
#2001,2001,Thursday,April,14,2016
#1992,1992,Tuesday,April,5,2016
#1991,1991,Monday,April,4,2016
#1989,1989,Saturday,April,2,2016
#1988,1988,Saturday,April,2,2016
#1987,1987,Thursday,March,31,2016
#1986,1986,Wednesday,March,30,2016
#1985,1985,Tuesday,March,29,2016
#1984,1984,Monday,March,28,2016
#1983,1983,Sunday,March,27,2016
#1982,1982,Saturday,March,26,2016
#1981,1981,Friday,March,25,2016
#1980,1980,Thursday,March,24,2016
#1979,1979,Wednesday,March,23,2016
#1978,1978,Tuesday,March,22,2016
#197,197,Monday,March,21,2016
#1976,1976,Sunday,March,20,2016
#1975,1975,Saturday,March,19,2016
#1974,1974,Friday,March,18,2016
#1973,1973,Thursday,March,17,2016
#1972,1972,Wednesday,March,16,2016
#1971,1971,Tuesday,March,15,2016
#1970,1970,Monday,March,14,2016
#1968,1968,Saturday,March,12,2016
#1967,1967,Friday,March,11,2016
#1966,1966,Friday,March,11,2016
#1965,1965,Thursday,March,10,2016
#1964,1964,Wednesday,March,9,2016
#1959,1959,Thursday,March,3,2016
#1958,1958,Wednesday,March,2,2016
#1957,1957,Tuesday,March,1,2016
#1956,1956,Monday,February,29,2016
#1955,1955,Sunday,February,28,2016
#1954,1954,Saturday,February,27,2016
#1953,1953,Friday,February,26,2016
#1952,1952,Thursday,February,25,2016
#1951,1951,Wednesday,February,24,2016
#1950,1950,Tuesday,February,23,2016
#38814,38814,Monday,February,22,2016
#1949,1949,Monday,February,22,2016
#1948,1948,Sunday,February,21,2016
#1947,1947,Saturday,February,20,2016
#1946,1946,Friday,February,19,2016
#1945,1945,Thursday,February,18,2016
#1944,1944,Wednesday,February,17,2016
#1943,1943,Tuesday,February,16,2016
#1942,1942,Monday,February,15,2016
#1941,1941,Sunday,February,14,2016
#1940,1940,Saturday,February,13,2016
#1939,1939,Saturday,February,13,2016
#1938,1938,Friday,February,12,2016
#1937,1937,Friday,February,12,2016
#1936,1936,Thursday,February,11,2016
#1931,1931,Saturday,February,6,2016
#1930,1930,Friday,February,5,2016
#1929,1929,Thursday,February,4,2016
#1957,1957,Wednesday,February,3,2016
#1928,1928,Wednesday,February,3,2016
#1927,1927,Tuesday,February,2,2016
#1926,1926,Sunday,January,31,2016
#1925,1925,Saturday,January,30,2016
#1924,1924,Friday,January,29,2016
#1923,1923,Thursday,January,28,2016
#1922,1922,Wednesday,January,27,2016
#1921,1921,Tuesday,January,26,2016
#1920,1920,Monday,January,25,2016
#1919,1919,Sunday,January,24,2016
#1918,1918,Sunday,January,24,2016
#1917,1917,Saturday,January,23,2016
#1916,1916,Friday,January,22,2016
#1915,1915,Friday,January,22,2016
#1914,1914,Thursday,January,21,2016
#1913,1913,Wednesday,January,20,2016
#1912,1912,Wednesday,January,20,2016
#1911,1911,Tuesday,January,19,2016
#1910,1910,Monday,January,18,2016
#1909,1909,Monday,January,18,2016
#1908,1908,Sunday,January,17,2016
#1907,1907,Saturday,January,16,2016
#1906,1906,Friday,January,15,2016
#1905,1905,Thursday,January,14,2016
#1904,1904,Wednesday,January,13,2016
#1903,1903,Wednesday,January,13,2016
#1902,1902,Tuesday,January,12,2016
#1901,1901,Tuesday,January,12,2016
#1900,1900,Monday,January,11,2016
#1899,1899,Monday,January,11,2016
#1898,1898,Sunday,January,10,2016
#1897,1897,Sunday,January,10,2016
#1896,1896,Saturday,January,9,2016
#1895,1895,Saturday,January,9,2016
#1894,1894,Friday,January,8,2016
#1893,1893,Thursday,January,7,2016
#1892,1892,Thursday,January,7,2016
#1891,1891,Wednesday,January,6,2016
#1890,1890,Wednesday,January,6,2016
#1889,1889,Tuesday,January,5,2016
#1888,1888,Tuesday,January,5,2016
#1887,1887,Monday,January,4,2016
#37391,37391,Thursday,December,24,2015
#1875,1875,Wednesday,December,23,2015
#1874,1874,Tuesday,December,22,2015
#1873,1873,Monday,December,21,2015
#1871,1871,Monday,December,21,2015
#1872,1872,Sunday,December,20,2015
#1870,1870,Sunday,December,20,2015
#36761,36761,Saturday,December,19,2015
#1868,1868,Friday,December,18,2015
#1867,1867,Friday,December,18,2015
#1866,1866,Thursday,December,17,2015
#1865,1865,Wednesday,December,16,2015
#1864,1864,Tuesday,December,15,2015
#1863,1863,Monday,December,14,2015
#1862,1862,Sunday,December,13,2015
#1861,1861,Saturday,December,12,2015
#1860,1860,Friday,December,11,2015
#1859,1859,Thursday,December,10,2015
#1858,1858,Wednesday,December,9,2015
#1857,1857,Tuesday,December,8,2015
#1856,1856,Monday,December,7,2015
#1855,1855,Sunday,December,6,2015
#1854,1854,Saturday,December,5,2015
#1853,1853,Friday,December,4,2015
#1852,1852,Thursday,December,3,2015
#1851,1851,Wednesday,December,2,2015
#1850,1850,Tuesday,December,1,2015
#1849,1849,Monday,November,30,2015
#1848,1848,Sunday,November,29,2015
#1847,1847,Sunday,November,29,2015
#1846,1846,Saturday,November,28,2015
#1845,1845,Saturday,November,28,2015
#1844,1844,Friday,November,27,2015
#1843,1843,Thursday,November,26,2015
#1842,1842,Wednesday,November,25,2015
#1841,1841,Tuesday,November,24,2015
#1840,1840,Monday,November,23,2015
#1839,1839,Sunday,November,22,2015
#1838,1838,Friday,November,20,2015
#1836,1836,Tuesday,November,17,2015
#1832,1832,Thursday,November,12,2015
#1831,1831,Wednesday,November,11,2015
#1830,1830,Tuesday,November,10,2015
#1829,1829,Monday,November,9,2015
#1828,1828,Sunday,November,8,2015
#1827,1827,Saturday,November,7,2015
#1826,1826,Friday,November,6,2015
#1825,1825,Thursday,November,5,2015
#1824,1824,Tuesday,November,3,2015
#1823,1823,Sunday,November,1,2015
#1822,1822,Saturday,October,31,2015
#1821,1821,Friday,October,30,2015
#1820,1820,Thursday,October,29,2015
#1819,1819,Wednesday,October,28,2015
#1818,1818,Tuesday,October,27,2015
#1817,1817,Monday,October,26,2015
#1816,1816,Sunday,October,25,2015
#1815,1815,Saturday,October,24,2015
#1814,1814,Friday,October,23,2015
#1813,1813,Thursday,October,22,2015
#1812,1812,Wednesday,October,21,2015
#1811,1811,Tuesday,October,20,2015
#1810,1810,Monday,October,19,2015
#1809,1809,Sunday,October,18,2015
#1808,1808,Saturday,October,17,2015
#1807,1807,Friday,October,16,2015
#1806,1806,Thursday,October,15,2015
#1805,1805,Wednesday,October,14,2015
#1804,1804,Tuesday,October,13,2015
#1803,1803,Monday,October,12,2015
#1802,1802,Sunday,October,11,2015
#1801,1801,Saturday,October,10,2015
#1800,1800,Friday,October,9,2015
#1799,1799,Thursday,October,8,2015
#1798,1798,Wednesday,October,7,2015
#1797,1797,Tuesday,October,6,2015
#1796,1796,Monday,October,5,2015
#1795,1795,Sunday,October,4,2015
#1794,1794,Saturday,October,3,2015
#1793,1793,Friday,October,2,2015
#1792,1792,Thursday,October,1,2015
#1791,1791,Wednesday,September,30,2015
#1790,1790,Tuesday,September,29,2015
#1789,1789,Monday,September,28,2015
#1788,1788,Sunday,September,27,2015
#1787,1787,Saturday,September,26,2015
#1786,1786,Thursday,September,24,2015
#1785,1785,Wednesday,September,23,2015
#1784,1784,Tuesday,September,22,2015
#1783,1783,Sunday,September,20,2015
#1782,1782,Saturday,September,19,2015
#1781,1781,Friday,September,18,2015
#1780,1780,Thursday,September,17,2015
#1779,1779,Wednesday,September,16,2015
#1778,1778,Tuesday,September,15,2015
#1777,1777,Monday,September,14,2015
#1769,1769,Sunday,September,6,2015
#1768,1768,Saturday,September,5,2015
#1767,1767,Friday,September,4,2015
#1766,1766,Thursday,September,3,2015
#1765,1765,Wednesday,September,2,2015
#1764,1764,Tuesday,September,1,2015
#1763,1763,Saturday,August,29,2015
#1762,1762,Friday,August,28,2015
#1761,1761,Thursday,August,27,2015
#1760,1760,Wednesday,August,26,2015
#1759,1759,Tuesday,August,25,2015
#1758,1758,Monday,August,24,2015
#1757,1757,Sunday,August,23,2015
#1756,1756,Saturday,August,22,2015
#1755,1755,Friday,August,21,2015
#1754,1754,Thursday,August,20,2015
#1752,1752,Tuesday,August,18,2015
#1751,1751,Monday,August,17,2015
#1750,1750,Sunday,August,16,2015
#1749,1749,Saturday,August,15,2015
#1748,1748,Friday,August,14,2015
#1747,1747,Thursday,August,13,2015
#1746,1746,Wednesday,August,12,2015
#1745,1745,Tuesday,August,11,2015
#1744,1744,Monday,August,10,2015
#1753,1753,Sunday,August,9,2015
#1743,1743,Sunday,August,9,2015
#1742,1742,Saturday,August,8,2015
#1741,1741,Friday,August,7,2015
#1740,1740,Wednesday,August,5,2015
#1739,1739,Tuesday,August,4,2015
#1738,1738,Sunday,August,2,2015
#1737,1737,Saturday,August,1,2015
#1736,1736,Friday,July,31,2015
#1735,1735,Thursday,July,30,2015
#1734,1734,Wednesday,July,29,2015
#1733,1733,Tuesday,July,28,2015
#1732,1732,Monday,July,27,2015
#1731,1731,Sunday,July,26,2015
#1730,1730,Saturday,July,25,2015
#1729,1729,Friday,July,24,2015
#1728,1728,Thursday,July,23,2015
#1727,1727,Wednesday,July,22,2015
#1726,1726,Tuesday,July,21,2015
#1725,1725,Sunday,July,19,2015
#1724,1724,Saturday,July,18,2015
#1723,1723,Friday,July,17,2015
#1722,1722,Thursday,July,16,2015
#1721,1721,Wednesday,July,15,2015
#1720,1720,Tuesday,July,14,2015
#1719,1719,Monday,July,13,2015
#1718,1718,Sunday,July,12,2015
#1717,1717,Saturday,July,11,2015
#1716,1716,Thursday,July,9,2015
#1715,1715,Wednesday,July,8,2015
#1714,1714,Tuesday,July,7,2015
#1713,1713,Sunday,July,5,2015
#1712,1712,Thursday,July,2,2015
#1711,1711,Wednesday,July,1,2015
#1710,1710,Tuesday,June,30,2015
#1709,1709,Saturday,June,27,2015
#1708,1708,Thursday,June,25,2015
#1707,1707,Wednesday,June,24,2015
#1706,1706,Tuesday,June,23,2015
#1705,1705,Monday,June,22,2015
#1704,1704,Sunday,June,21,2015
#1703,1703,Saturday,June,20,2015
#1702,1702,Friday,June,19,2015
#1700,1700,Wednesday,June,17,2015
#1699,1699,Tuesday,June,16,2015
#1698,1698,Sunday,June,14,2015
#1697,1697,Saturday,June,13,2015
#1696,1696,Friday,June,12,2015
#1695,1695,Thursday,June,11,2015
#1694,1694,Wednesday,June,10,2015
#1693,1693,Tuesday,June,9,2015
#1692,1692,Monday,June,8,2015
#1691,1691,Sunday,June,7,2015
#1690,1690,Saturday,June,6,2015
#1686,1686,Tuesday,June,2,2015
#1685,1685,Monday,June,1,2015
#1680,1680,Wednesday,May,27,2015
#1679,1679,Tuesday,May,26,2015
#1678,1678,Monday,May,25,2015
#1677,1677,Sunday,May,24,2015
#1676,1676,Saturday,May,23,2015
#1675,1675,Friday,May,22,2015
#1674,1674,Tuesday,May,19,2015
#1673,1673,Monday,May,18,2015
#1672,1672,Sunday,May,17,2015
#1671,1671,Saturday,May,16,2015
#1670,1670,Friday,May,15,2015
#1669,1669,Thursday,May,14,2015
#1668,1668,Wednesday,May,13,2015
#1667,1667,Tuesday,May,12,2015
#1666,1666,Monday,May,11,2015
#1665,1665,Saturday,May,9,2015
#1664,1664,Friday,May,8,2015
#1663,1663,Thursday,May,7,2015
#1662,1662,Wednesday,May,6,2015
#1661,1661,Tuesday,May,5,2015
#1660,1660,Monday,May,4,2015
#1659,1659,Sunday,May,3,2015
#1658,1658,Saturday,May,2,2015
#1657,1657,Friday,May,1,2015
#1656,1656,Thursday,April,30,2015
#1655,1655,Wednesday,April,29,2015
#1652,1652,Sunday,April,26,2015
#1651,1651,Saturday,April,25,2015
#1650,1650,Friday,April,24,2015
#1649,1649,Thursday,April,23,2015
#1648,1648,Wednesday,April,22,2015
#1647,1647,Tuesday,April,21,2015
#1646,1646,Sunday,April,19,2015
#1645,1645,Saturday,April,18,2015
#1644,1644,Friday,April,17,2015
#1643,1643,Thursday,April,16,2015
#1642,1642,Wednesday,April,15,2015
#1641,1641,Tuesday,April,14,2015
#1640,1640,Monday,April,13,2015
#1639,1639,Sunday,April,12,2015
#1638,1638,Saturday,April,11,2015
#1637,1637,Friday,April,10,2015
#1636,1636,Thursday,April,9,2015
#1635,1635,Wednesday,April,8,2015
#1634,1634,Tuesday,April,7,2015
#1633,1633,Tuesday,April,7,2015
#1632,1632,Monday,April,6,2015
#1631,1631,Monday,April,6,2015
#1630,1630,Saturday,April,4,2015
#1629,1629,Friday,April,3,2015
#1628,1628,Thursday,April,2,2015
#7261,7261,Wednesday,April,1,2015
#1627,1627,Tuesday,March,31,2015
#1626,1626,Tuesday,March,31,2015
#1625,1625,Monday,March,30,2015
#1624,1624,Sunday,March,29,2015
#1623,1623,Saturday,March,28,2015
#1622,1622,Friday,March,27,2015
#1621,1621,Thursday,March,26,2015
#1620,1620,Wednesday,March,25,2015
#1619,1619,Tuesday,March,24,2015
#1618,1618,Tuesday,March,24,2015
#1617,1617,Sunday,March,22,2015
#1616,1616,Saturday,March,21,2015
#1615,1615,Thursday,March,19,2015
#1614,1614,Wednesday,March,18,2015
#1613,1613,Tuesday,March,17,2015
#2015,2015,Monday,March,16,2015
#1612,1612,Monday,March,16,2015
#1611,1611,Saturday,March,14,2015
#1610,1610,Thursday,March,12,2015
#1609,1609,Wednesday,March,11,2015
#608,608,Tuesday,March,10,2015
#1607,1607,Monday,March,9,2015
#1606,1606,Sunday,March,8,2015
#1605,1605,Saturday,March,7,2015
#1604,1604,Friday,March,6,2015
#1604,1604,Thursday,March,5,2015
#1602,1602,Wednesday,March,4,2015
#1601,1601,Tuesday,March,3,2015
#1600,1600,Monday,March,2,2015
#1599,1599,Sunday,March,1,2015
#1598,1598,Saturday,February,28,2015
#1597,1597,Thursday,February,26,2015
#1596,1596,Wednesday,February,25,2015
#1595,1595,Tuesday,February,24,2015
#1594,1594,Monday,February,23,2015
#1593,1593,Saturday,February,21,2015
#1592,1592,Thursday,February,19,2015
#1591,1591,Wednesday,February,18,2015
#1589,1589,Monday,February,16,2015
#1588,1588,Sunday,February,15,2015
#1586,1586,Thursday,February,12,2015
#1585,1585,Wednesday,February,11,2015
#1584,1584,Tuesday,February,10,2015
#1583,1583,Monday,February,9,2015
#1582,1582,Sunday,February,8,2015
#1581,1581,Saturday,February,7,2015
#1580,1580,Thursday,February,5,2015
#1579,1579,Wednesday,February,4,2015
#1578,1578,Tuesday,February,3,2015
#1576,1576,Sunday,February,1,2015
#1575,1575,Saturday,January,31,2015
#1574,1574,Thursday,January,29,2015
#1572,1572,Tuesday,January,27,2015
#1573,1573,Monday,January,26,2015
#1571,1571,Sunday,January,25,2015
#1570,1570,Saturday,January,24,2015
#1569,1569,Thursday,January,22,2015
#1568,1568,Wednesday,January,21,2015
#1567,1567,Monday,January,19,2015
#1566,1566,Sunday,January,18,2015
#1565,1565,Saturday,January,17,2015
#1564,1564,Thursday,January,15,2015
#1563,1563,Wednesday,January,14,2015
#1562,1562,Tuesday,January,13,2015
#1561,1561,Monday,January,12,2015
#1560,1560,Sunday,January,11,2015
#1559,1559,Saturday,January,10,2015
#1558,1558,Thursday,January,8,2015
#1557,1557,Tuesday,January,6,2015
#1556,1556,Monday,January,5,2015
#1555,1555,Saturday,January,3,2015
#1554,1554,Thursday,January,1,2015
#1553,1553,Tuesday,December,30,2014
#1552,1552,Monday,December,29,2014
#1551,1551,Saturday,December,27,2014
#1550,1550,Thursday,December,25,2014
#1549,1549,Wednesday,December,24,2014
#1548,1548,Tuesday,December,23,2014
#1547,1547,Monday,December,22,2014
#1546,1546,Sunday,December,21,2014
#1545,1545,Saturday,December,20,2014
#1544,1544,Thursday,December,18,2014
#1543,1543,Wednesday,December,17,2014
#1542,1542,Tuesday,December,16,2014
#1541,1541,Monday,December,15,2014
#1540,1540,Sunday,December,14,2014
#1539,1539,Saturday,December,13,2014
#1538,1538,Thursday,December,11,2014
#1537,1537,Wednesday,December,10,2014
#1536,1536,Tuesday,December,9,2014
#1535,1535,Saturday,December,6,2014
#1534,1534,Thursday,December,4,2014
#1533,1533,Wednesday,December,3,2014
#1533,1533,Friday,November,28,2014
#1532,1532,Thursday,November,27,2014
#1531,1531,Wednesday,November,26,2014
#1530,1530,Tuesday,November,25,2014
#1529,1529,Monday,November,24,2014
#1528,1528,Sunday,November,23,2014
#1527,1527,Wednesday,November,19,2014
#1526,1526,Tuesday,November,18,2014
#1525,1525,Sunday,November,16,2014
#1524,1524,Saturday,November,15,2014
#1523,1523,Thursday,November,13,2014
#1522,1522,Wednesday,November,12,2014
#1521,1521,Tuesday,November,11,2014
#1520,1520,Monday,November,10,2014
#1519,1519,Sunday,November,9,2014
#1518,1518,Thursday,November,6,2014
#1517,1517,Tuesday,November,4,2014
#1516,1516,Monday,November,3,2014
#1515,1515,Sunday,November,2,2014
#1514,1514,Saturday,November,1,2014
#1513,1513,Thursday,October,30,2014
#1512,1512,Wednesday,October,29,2014
#1510,1510,Tuesday,October,28,2014
#1510,1510,Sunday,October,26,2014
#1509,1509,Saturday,October,25,2014
#1508,1508,Thursday,October,23,2014
#1507,1507,Wednesday,October,22,2014
#1506,1506,Tuesday,October,21,2014
#1505,1505,Monday,October,20,2014
#1504,1504,Sunday,October,19,2014
#1503,1503,Saturday,October,18,2014
#1502,1502,Friday,October,17,2014
#1501,1501,Thursday,October,16,2014
#1500,1500,Wednesday,October,15,2014
#1499,1499,Tuesday,October,14,2014
#1498,1498,Saturday,October,11,2014
#1497,1497,Friday,October,10,2014
#1496,1496,Thursday,October,9,2014
#1495,1495,Wednesday,October,8,2014
#1494,1494,Monday,October,6,2014
#1493,1493,Saturday,September,27,2014
#1492,1492,Friday,September,26,2014
#1491,1491,Thursday,September,25,2014
#1490,1490,Wednesday,September,24,2014
#1489,1489,Tuesday,September,23,2014
#1488,1488,Monday,September,22,2014
#1487,1487,Sunday,September,21,2014
#1486,1486,Thursday,September,18,2014
#1485,1485,Wednesday,September,17,2014
#1484,1484,Tuesday,September,16,2014
#1483,1483,Monday,September,15,2014
#1482,1482,Sunday,September,14,2014
#1481,1481,Saturday,September,13,2014
#1480,1480,Thursday,September,11,2014
#1479,1479,Wednesday,September,10,2014
#1478,1478,Tuesday,September,9,2014
#1477,1477,Monday,September,8,2014
#1476,1476,Sunday,September,7,2014
#1475,1475,Saturday,September,6,2014
#1474,1474,Thursday,September,4,2014
#1473,1473,Tuesday,September,2,2014
#1472,1472,Monday,September,1,2014
#1471,1471,Sunday,August,31,2014
#1470,1470,Saturday,August,30,2014
#1469,1469,Friday,August,29,2014
#1468,1468,Thursday,August,28,2014
#1467,1467,Wednesday,August,27,2014
#1466,1466,Tuesday,August,26,2014
#1465,1465,Monday,August,25,2014
#1464,1464,Sunday,August,24,2014
#1463,1463,Saturday,August,23,2014
#1462,1462,Friday,August,22,2014
#1461,1461,Thursday,August,21,2014
#1460,1460,Wednesday,August,20,2014
#1459,1459,Tuesday,August,19,2014
#1458,1458,Sunday,August,17,2014
#1457,1457,Saturday,August,16,2014
#1456,1456,Friday,August,15,2014
#1455,1455,Thursday,August,14,2014
#1454,1454,Tuesday,August,12,2014
#1453,1453,Monday,August,11,2014
#1452,1452,Sunday,August,10,2014
#1451,1451,Saturday,August,9,2014
#1450,1450,Friday,August,8,2014
#1449,1449,Thursday,August,7,2014
#1448,1448,Wednesday,August,6,2014
#1447,1447,Tuesday,August,5,2014
#1446,1446,Saturday,August,2,2014
#1445,1445,Wednesday,July,30,2014
#1444,1444,Wednesday,July,30,2014
#1443,1443,Tuesday,July,29,2014
#1441,1441,Saturday,July,26,2014
#1440,1440,Thursday,July,24,2014
#1439,1439,Wednesday,July,23,2014
#1438,1438,Tuesday,July,22,2014
#1437,1437,Monday,July,21,2014
#1436,1436,Sunday,July,20,2014
#1435,1435,Thursday,July,17,2014
#1430,1430,Sunday,July,13,2014
#1429,1429,Saturday,July,12,2014
#1428,1428,Friday,July,11,2014
#1427,1427,Wednesday,July,9,2014
#1426,1426,Tuesday,July,8,2014
#1425,1425,Sunday,July,6,2014
#1424,1424,Friday,July,4,2014
#1423,1423,Wednesday,July,2,2014
#1422,1422,Tuesday,July,1,2014
#1421,1421,Monday,June,30,2014
#1420,1420,Saturday,June,28,2014
#1419,1419,Monday,June,23,2014
#1418,1418,Sunday,June,22,2014
#1417,1417,Saturday,June,21,2014
#1416,1416,Friday,June,20,2014
#1415,1415,Wednesday,June,18,2014
#1414,1414,Tuesday,June,17,2014
#1412,1412,Sunday,June,15,2014
#1411,1411,Saturday,June,14,2014
#1410,1410,Thursday,June,12,2014
#1409,1409,Wednesday,June,11,2014
#1408,1408,Tuesday,June,10,2014
#1407,1407,Monday,June,9,2014
#1406,1406,Sunday,June,8,2014
#1405,1405,Saturday,June,7,2014
#1404,1404,Friday,June,6,2014
#1403,1403,Thursday,June,5,2014
#1402,1402,Wednesday,June,4,2014
#1401,1401,Tuesday,June,3,2014
#1400,1400,Monday,June,2,2014
#1399,1399,Sunday,June,1,2014
#1398,1398,Saturday,May,31,2014
#1397,1397,Wednesday,May,28,2014
#1396,1396,Monday,May,26,2014
